,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,support_actor,lead_director,lead_writer,month,production_number,lead_number,support_number,director_number,writer_number,0_Action,0_Adventure,0_Animation,0_Biography,0_Comedy,0_Crime,0_Drama,0_Family,0_Fantasy,0_History,0_Horror,0_Music,0_Musical,0_Mystery,0_News,0_Romance,0_Sci-Fi,0_Sport,0_Thriller,0_War,0_Western,avg_vote_round
1680,tt8430676,Shepard,Shepard,2020,2020-03-10,Thriller,71,USA,Red Rover Movie,4.1,104,0,4.1,104,4.2,4.0,4.6,Ashley Nicole Williams,Will Beinbrink,Jourdan McClure,Philip Landa,3,5686,2237,6701,675,4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
1681,tt1833879,Scary or Die,Scary or Die,2012,2012-09-11,Horror,94,USA,Canal Street Films,3.9,3583,0,3.9,3583,4.1,4.0,3.9,Bill Oberst Jr.,Hali Lula Hudson,Bob Badway,Bob Badway,9,553,29,3210,865,752,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1682,tt0942904,The Uninvited,The Uninvited,2008,2008,"Horror, Thriller",97,USA,Canal Street Films,4.0,713,0,4.0,713,4.4,4.0,3.8,Marguerite Moreau,Brittany Curran,Bob Badway,Bob Badway,0,553,109,508,865,752,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
1683,tt1815746,Humans vs Zombies,Humans vs Zombies,2011,2011-11-11,"Comedy, Horror, Sci-Fi",93,USA,Studio 3 Entertainment,3.9,1400,0,3.9,1400,4.8,4.0,4.8,Dora Madison,Melissa Carnell,Brian T. Jaynes,Brian T. Jaynes,11,1158,839,5827,49,150,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
1684,tt1493798,Boggy Creek,Boggy Creek,2010,2010,Horror,87,USA,Boggy Creek Productions,3.1,673,0,3.1,673,3.8,3.0,3.1,Melissa Carnell,Texas Battle,Brian T. Jaynes,Brian T. Jaynes,0,1762,5827,2700,49,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1685,tt2246907,Patient Zero,Patient Zero,2012,2012-09-25,"Action, Sci-Fi, Thriller",70,USA,Studio 3 Entertainment,4.3,721,0,4.3,721,5.8,7.0,5.9,Brandon Slagle,Amanda Phillips,Brian T. Jaynes,Brian T. Jaynes,9,1158,1456,2341,49,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
1686,tt2207778,The Underneath,The Underneath,2013,2013-12-01,"Action, Sci-Fi, Thriller",88,USA,Origin Cinema Group,2.9,320,0,2.9,320,3.3,3.0,2.7,Holt Boggs,Natalie Makenna,Brian T. Jaynes,Brian T. Jaynes,12,2760,1167,5434,49,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
1687,tt3721112,The Shadow People,The Shadow People,2017,2017-02-28,"Drama, Horror, Mystery",78,USA,Edgen Films,3.3,174,0,3.3,174,3.6,3.0,3.7,Bug Hall,Kat Steffens,Brian T. Jaynes,David Wilson,2,376,1448,6579,49,1464,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
1688,tt3978902,Spirito selvaggio,Spirit Riders,2015,2015-05-09,Family,92,USA,Edgen Films,4.4,229,0,4.4,229,5.1,5.0,4.8,Jennifer Davidson,Maddy Davidson,Brian T. Jaynes,David Wilson,5,376,2849,4439,49,1464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1689,tt2992096,Bigfoot Wars,Bigfoot Wars,2014,2014-03-10,Sci-Fi,75,USA,Edgen Films,3.1,222,0,3.1,222,3.4,3.0,4.0,Larry Jack Dotson,Audrey Ellis Fox,Brian T. Jaynes,Andrea Doss,3,376,5806,7735,49,3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
